"","DateRep","Cases","Deaths","Country"
"1",2020-01-22,0,0,"Afghanistan"
"2",2020-01-23,0,0,"Afghanistan"
"3",2020-01-24,0,0,"Afghanistan"
"4",2020-01-25,0,0,"Afghanistan"
"5",2020-01-26,0,0,"Afghanistan"
"6",2020-01-27,0,0,"Afghanistan"
"7",2020-01-28,0,0,"Afghanistan"
"8",2020-01-29,0,0,"Afghanistan"
"9",2020-01-30,0,0,"Afghanistan"
"10",2020-01-31,0,0,"Afghanistan"
"11",2020-02-01,0,0,"Afghanistan"
"12",2020-02-02,0,0,"Afghanistan"
"13",2020-02-03,0,0,"Afghanistan"
"14",2020-02-04,0,0,"Afghanistan"
"15",2020-02-05,0,0,"Afghanistan"
"16",2020-02-06,0,0,"Afghanistan"
"17",2020-02-07,0,0,"Afghanistan"
"18",2020-02-08,0,0,"Afghanistan"
"19",2020-02-09,0,0,"Afghanistan"
"20",2020-02-10,0,0,"Afghanistan"
"21",2020-02-11,0,0,"Afghanistan"
"22",2020-02-12,0,0,"Afghanistan"
"23",2020-02-13,0,0,"Afghanistan"
"24",2020-02-14,0,0,"Afghanistan"
"25",2020-02-15,0,0,"Afghanistan"
"26",2020-02-16,0,0,"Afghanistan"
"27",2020-02-17,0,0,"Afghanistan"
"28",2020-02-18,0,0,"Afghanistan"
"29",2020-02-19,0,0,"Afghanistan"
"30",2020-02-20,0,0,"Afghanistan"
"31",2020-02-21,0,0,"Afghanistan"
"32",2020-02-22,0,0,"Afghanistan"
"33",2020-02-23,0,0,"Afghanistan"
"34",2020-02-24,1,0,"Afghanistan"
"35",2020-02-25,0,0,"Afghanistan"
"36",2020-02-26,0,0,"Afghanistan"
"37",2020-02-27,0,0,"Afghanistan"
"38",2020-02-28,0,0,"Afghanistan"
"39",2020-02-29,0,0,"Afghanistan"
"40",2020-03-01,0,0,"Afghanistan"
"41",2020-03-02,0,0,"Afghanistan"
"42",2020-03-03,0,0,"Afghanistan"
"43",2020-03-04,0,0,"Afghanistan"
"44",2020-03-05,0,0,"Afghanistan"
"45",2020-03-06,0,0,"Afghanistan"
"46",2020-03-07,0,0,"Afghanistan"
"47",2020-03-08,3,0,"Afghanistan"
"48",2020-03-09,0,0,"Afghanistan"
"49",2020-03-10,1,0,"Afghanistan"
"50",2020-03-11,2,0,"Afghanistan"
"51",2020-03-12,0,0,"Afghanistan"
"52",2020-03-13,0,0,"Afghanistan"
"53",2020-03-14,4,0,"Afghanistan"
"54",2020-03-15,5,0,"Afghanistan"
